months_as_customer,age,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_year,fraud_reported
359,47,OH,100/300,2000,1367.68,0,FEMALE,MD,handlers-cleaners,basketball,unmarried,0,0,Single Vehicle Collision,Front Collision,Total Loss,Police,SC,13,1,NO,0,3,NO,55500,5550,11100,38850,Mercedes,2012,N
347,51,OH,500/1000,500,1480.79,9000000,FEMALE,MD,priv-house-serv,board-games,unmarried,0,-12100,Single Vehicle Collision,Side Collision,Total Loss,Other,NC,15,1,YES,0,2,?,103560,8630,17260,77670,Jeep,1997,N
133,30,IN,500/1000,1000,1231.01,0,MALE,College,adm-clerical,board-games,husband,0,-31700,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,SC,19,3,NO,1,2,?,28440,3160,3160,22120,Dodge,2007,N
402,54,OH,250/500,2000,1285.09,0,MALE,JD,farming-fishing,board-games,not-in-family,48000,-79600,Single Vehicle Collision,Rear Collision,Major Damage,Other,NY,19,1,NO,0,2,YES,67770,7530,15060,45180,Mercedes,2013,Y
339,49,IN,500/1000,2000,1570.77,0,MALE,JD,adm-clerical,paintball,not-in-family,98800,-65300,Vehicle Theft,?,Minor Damage,,SC,13,1,NO,0,3,NO,6820,1240,620,4960,Mercedes,2009,N
426,54,IL,500/1000,2000,1097.71,0,FEMALE,Masters,adm-clerical,reading,not-in-family,29600,-22300,Single Vehicle Collision,Side Collision,Minor Damage,Police,SC,13,1,YES,2,3,?,100800,16800,16800,67200,Dodge,1997,N
8,21,IN,500/1000,500,1021.9,0,MALE,High School,handlers-cleaners,hiking,husband,0,0,Single Vehicle Collision,Front Collision,Major Damage,Other,WV,21,1,?,0,0,?,91260,14040,14040,63180,Toyota,2012,N
154,37,IL,250/500,1000,2047.59,0,FEMALE,MD,farming-fishing,dancing,other-relative,0,-67800,Single Vehicle Collision,Rear Collision,Minor Damage,Other,SC,2,1,?,0,3,NO,79530,14460,7230,57840,Accura,2000,N
1,29,OH,500/1000,500,854.58,0,FEMALE,JD,craft-repair,paintball,other-relative,52200,0,Single Vehicle Collision,Side Collision,Minor Damage,Police,SC,15,1,?,2,3,YES,86790,7890,23670,55230,Honda,2003,N
48,35,IL,100/300,500,1090.03,0,FEMALE,JD,exec-managerial,golf,unmarried,0,-51000,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,WV,1,1,YES,0,2,NO,48400,9680,4840,33880,Saab,2005,N
155,35,OH,250/500,1000,919.37,0,FEMALE,Associate,protective-serv,hiking,not-in-family,83600,0,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,0,1,?,0,3,?,48360,8060,8060,32240,Nissan,1997,N
188,37,OH,100/300,500,1457.21,0,FEMALE,JD,adm-clerical,hiking,own-child,46300,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,6,1,?,2,0,YES,45000,5000,5000,35000,Suburu,2003,N
279,45,IN,250/500,2000,1333.97,6000000,FEMALE,MD,other-service,bungie-jumping,unmarried,61100,-30700,Multi-vehicle Collision,Rear Collision,Major Damage,Other,SC,21,3,?,1,0,?,61050,11100,11100,38850,Dodge,2011,Y
377,53,IL,100/300,500,1693.63,0,FEMALE,MD,craft-repair,kayaking,unmarried,0,-64000,Multi-vehicle Collision,Front Collision,Total Loss,Fire,WV,10,3,YES,1,3,NO,59040,6560,6560,45920,Saab,2015,N
111,29,IL,250/500,500,1239.55,2000000,FEMALE,PhD,farming-fishing,kayaking,own-child,0,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,SC,1,1,?,1,1,YES,52800,4800,9600,38400,Mercedes,1996,Y
144,37,OH,250/500,2000,1896.91,0,FEMALE,PhD,handlers-cleaners,sleeping,not-in-family,73700,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,17,3,YES,1,3,NO,54400,5440,10880,38080,Chevrolet,2015,Y
356,54,OH,500/1000,500,912.3,0,MALE,College,prof-specialty,yachting,wife,58500,-44000,Multi-vehicle Collision,Front Collision,Major Damage,Other,SC,23,3,NO,2,1,?,68750,12500,12500,43750,Audi,2007,Y
290,45,OH,500/1000,2000,1215.36,0,MALE,Associate,tech-support,reading,own-child,54400,0,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,WV,22,3,?,0,1,NO,66200,6620,6620,52960,Suburu,2012,N
194,34,IL,100/300,500,1429.96,0,FEMALE,JD,protective-serv,board-games,husband,67800,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,NY,11,3,NO,1,2,YES,57200,11440,5720,40040,Toyota,2005,N
279,43,OH,500/1000,2000,1281.25,0,MALE,Associate,machine-op-inspct,cross-fit,other-relative,0,0,Single Vehicle Collision,Side Collision,Major Damage,Police,SC,13,1,YES,0,1,NO,57690,6410,12820,38460,Mercedes,2010,Y
233,39,OH,500/1000,2000,1524.18,0,MALE,JD,craft-repair,reading,unmarried,0,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,SC,20,3,?,1,0,YES,48870,5430,5430,38010,Saab,1999,N
285,41,IL,100/300,1000,1436.79,0,FEMALE,PhD,prof-specialty,sleeping,wife,70900,0,Single Vehicle Collision,Rear Collision,Major Damage,Fire,SC,23,1,YES,2,3,?,108480,18080,18080,72320,Volkswagen,2015,N
244,40,IN,500/1000,2000,1304.67,7000000,MALE,Masters,armed-forces,base-jumping,other-relative,0,-45000,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,5,3,?,1,1,?,61490,5590,11180,44720,Dodge,2001,N
131,33,IL,100/300,2000,1081.17,0,MALE,MD,sales,yachting,wife,0,-65200,Parked Car,?,Minor Damage,Police,NY,3,1,?,0,1,NO,4900,490,490,3920,Toyota,2010,N
86,28,IN,100/300,2000,1595.07,0,MALE,PhD,transport-moving,hiking,unmarried,75800,0,Single Vehicle Collision,Side Collision,Minor Damage,Police,VA,19,1,YES,0,2,YES,70920,11820,11820,47280,Jeep,2002,N
107,31,IN,250/500,500,1239.22,7000000,FEMALE,High School,tech-support,paintball,not-in-family,43400,-91200,Single Vehicle Collision,Side Collision,Minor Damage,Fire,SC,12,1,YES,0,1,NO,89700,13800,13800,62100,Audi,2009,Y
91,30,IL,250/500,2000,1316.63,8000000,FEMALE,Masters,machine-op-inspct,golf,unmarried,43900,0,Multi-vehicle Collision,Side Collision,Minor Damage,Other,SC,13,3,YES,2,0,?,84500,13000,13000,58500,BMW,2009,N
440,55,IL,250/500,500,1275.62,0,FEMALE,Associate,priv-house-serv,reading,other-relative,0,-56200,Multi-vehicle Collision,Side Collision,Minor Damage,Police,NY,18,3,YES,2,1,NO,61400,6140,6140,49120,Nissan,1995,N
398,58,OH,100/300,500,990.98,0,FEMALE,Associate,exec-managerial,cross-fit,wife,0,-57900,Single Vehicle Collision,Front Collision,Major Damage,Police,NC,18,1,YES,2,1,?,99320,7640,15280,76400,Accura,2002,Y
235,42,IN,250/500,500,1072.62,0,FEMALE,Masters,machine-op-inspct,exercise,husband,39900,-60200,Multi-vehicle Collision,Side Collision,Total Loss,Other,WV,7,4,?,2,1,YES,69100,6910,6910,55280,Toyota,2006,N
266,42,IL,500/1000,1000,763.67,0,MALE,Associate,prof-specialty,movies,own-child,12800,-49700,Single Vehicle Collision,Side Collision,Total Loss,Police,SC,12,1,YES,1,3,YES,70830,7870,7870,55090,Jeep,2005,N
295,48,OH,250/500,1000,1148.73,0,FEMALE,College,machine-op-inspct,kayaking,wife,0,0,Parked Car,?,Trivial Damage,,WV,6,1,?,1,2,YES,5400,900,900,3600,Saab,1999,N
186,37,OH,250/500,2000,1628.0,0,FEMALE,JD,priv-house-serv,exercise,unmarried,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,NY,22,1,YES,1,2,YES,55600,11120,5560,38920,Jeep,2009,N
80,27,OH,500/1000,500,795.31,0,MALE,JD,farming-fishing,skydiving,husband,0,-51000,Multi-vehicle Collision,Rear Collision,Major Damage,Police,OH,16,3,YES,1,3,?,40810,3710,7420,29680,Ford,2000,Y
152,33,OH,100/300,1000,840.81,0,FEMALE,High School,farming-fishing,chess,husband,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,NY,2,1,YES,0,2,?,82610,7510,7510,67590,Ford,2002,Y
129,30,IL,500/1000,2000,927.23,0,FEMALE,PhD,sales,video-games,husband,51500,0,Single Vehicle Collision,Front Collision,Total Loss,Other,SC,7,1,NO,1,3,?,74360,13520,6760,54080,Suburu,2009,N
108,31,IN,500/1000,2000,1175.7,0,MALE,Masters,protective-serv,yachting,not-in-family,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Fire,NY,14,1,NO,0,2,NO,57330,6370,6370,44590,Dodge,2006,N
61,25,IN,100/300,2000,988.06,0,FEMALE,Masters,other-service,dancing,not-in-family,0,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,1,3,YES,1,0,NO,32320,4040,4040,24240,Dodge,2000,N
75,27,OH,100/300,1000,1141.1,0,MALE,JD,armed-forces,movies,other-relative,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,15,2,?,0,1,YES,71640,5970,11940,53730,Toyota,2008,N
154,34,IN,100/300,500,795.23,0,MALE,PhD,machine-op-inspct,base-jumping,other-relative,36900,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NY,15,3,YES,2,1,?,69480,15440,0,54040,Nissan,2014,Y
99,28,OH,100/300,500,1330.39,0,MALE,MD,prof-specialty,basketball,wife,0,0,Single Vehicle Collision,Front Collision,Total Loss,Other,NY,3,1,NO,2,2,YES,49900,4990,9980,34930,Dodge,1998,N
325,46,IL,500/1000,500,1348.83,0,FEMALE,High School,prof-specialty,basketball,wife,46300,-77500,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,NC,21,3,?,1,2,YES,76120,13840,6920,55360,Toyota,1999,N
85,31,IL,250/500,2000,1234.69,9000000,FEMALE,MD,tech-support,paintball,husband,0,0,Multi-vehicle Collision,Front Collision,Major Damage,Other,WV,1,2,NO,2,1,?,74400,14880,7440,52080,BMW,2003,Y
37,23,IL,500/1000,500,1475.93,0,FEMALE,College,prof-specialty,hiking,husband,0,-67400,Multi-vehicle Collision,Side Collision,Minor Damage,Other,SC,17,3,YES,1,0,NO,51660,5740,5740,40180,Dodge,2010,N
78,27,OH,500/1000,500,1060.88,0,MALE,JD,other-service,skydiving,other-relative,0,-66500,Parked Car,?,Trivial Damage,Police,SC,4,1,NO,0,3,NO,6050,550,1100,4400,Volkswagen,2009,N
265,45,OH,250/500,500,972.5,0,FEMALE,College,exec-managerial,cross-fit,unmarried,0,0,Vehicle Theft,?,Trivial Damage,,NC,3,1,NO,2,3,NO,3190,290,580,2320,Ford,1995,N
16,32,IL,100/300,1000,968.46,0,MALE,MD,tech-support,chess,not-in-family,50800,-66200,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,WV,0,3,?,0,2,?,59400,6600,13200,39600,Dodge,1995,Y
126,30,IL,250/500,2000,1171.75,0,FEMALE,Associate,machine-op-inspct,board-games,not-in-family,46500,-42700,Single Vehicle Collision,Side Collision,Minor Damage,Other,NY,23,1,?,2,3,NO,48730,4430,4430,39870,Chevrolet,2011,N
106,31,IL,500/1000,2000,1320.75,0,FEMALE,JD,farming-fishing,video-games,wife,54100,0,Multi-vehicle Collision,Rear Collision,Total Loss,Police,WV,20,3,?,0,3,YES,45630,5070,5070,35490,Accura,2011,N
194,39,OH,500/1000,1000,1489.24,6000000,FEMALE,JD,other-service,kayaking,wife,0,-45000,Vehicle Theft,?,Minor Damage,,SC,15,1,YES,2,2,YES,8060,1240,1240,5580,Saab,2004,N
229,41,OH,250/500,2000,1107.59,3000000,MALE,PhD,tech-support,chess,not-in-family,65400,0,Single Vehicle Collision,Side Collision,Major Damage,Other,NY,23,1,NO,1,3,NO,62640,10440,10440,41760,Mercedes,2009,N
83,24,IN,500/1000,1000,1070.63,0,FEMALE,High School,machine-op-inspct,board-games,unmarried,0,0,Multi-vehicle Collision,Front Collision,Total Loss,Fire,NY,0,3,?,0,1,NO,61600,6160,12320,43120,Honda,2003,N
256,39,OH,250/500,1000,1351.1,0,FEMALE,PhD,tech-support,bungie-jumping,unmarried,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,19,3,NO,0,2,NO,64100,6410,6410,51280,Saab,2003,Y
66,26,IL,250/500,1000,988.29,0,MALE,College,armed-forces,skydiving,own-child,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Police,NY,8,1,?,2,2,YES,57860,0,10520,47340,Suburu,2008,Y
449,57,OH,250/500,2000,1440.68,0,MALE,Associate,tech-support,movies,own-child,25000,0,Parked Car,?,Minor Damage,,SC,8,1,YES,0,1,YES,5390,980,980,3430,Volkswagen,2008,N
280,41,OH,500/1000,2000,1140.31,0,MALE,MD,adm-clerical,exercise,husband,29300,-64700,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,WV,10,3,?,0,3,YES,53020,9640,9640,33740,Toyota,1999,N
413,55,IN,100/300,2000,1268.79,0,MALE,MD,priv-house-serv,chess,own-child,0,-31000,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,15,1,?,2,2,?,98160,8180,16360,73620,Dodge,2011,Y
234,41,IN,100/300,500,951.56,0,FEMALE,JD,transport-moving,video-games,wife,59400,-78600,Multi-vehicle Collision,Side Collision,Major Damage,Police,SC,3,3,NO,2,1,?,98280,15120,7560,75600,Chevrolet,2007,Y
194,34,IL,250/500,1000,1193.45,0,MALE,JD,other-service,hiking,not-in-family,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,WV,11,1,?,2,1,YES,58800,11760,5880,41160,Nissan,1997,N
182,40,IN,100/300,1000,1022.42,0,MALE,PhD,other-service,skydiving,husband,50000,-56900,Single Vehicle Collision,Front Collision,Total Loss,Other,SC,13,1,YES,0,2,?,71100,7110,14220,49770,Audi,2008,N
337,53,OH,100/300,500,1205.86,0,MALE,Associate,armed-forces,basketball,wife,0,-34600,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,SC,8,1,YES,0,1,NO,86400,14400,7200,64800,Accura,2001,N
215,42,OH,500/1000,500,1848.81,0,MALE,JD,transport-moving,video-games,own-child,0,-49000,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WV,20,3,YES,2,2,YES,68520,11420,5710,51390,Suburu,2003,Y
196,39,IN,500/1000,2000,1475.73,0,FEMALE,High School,handlers-cleaners,camping,own-child,57000,-27300,Multi-vehicle Collision,Side Collision,Major Damage,Police,VA,8,3,?,2,0,NO,60400,6040,6040,48320,Nissan,2014,N
65,26,IN,100/300,500,1285.03,3000000,FEMALE,High School,craft-repair,camping,unmarried,0,-41500,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,VA,0,1,NO,1,3,?,52200,5220,10440,36540,Honda,2011,N
257,44,OH,100/300,1000,1280.88,0,MALE,MD,other-service,basketball,other-relative,59400,-32200,Single Vehicle Collision,Rear Collision,Total Loss,Other,WV,21,1,NO,0,1,NO,46980,0,5220,41760,Accura,2002,N
228,44,IL,500/1000,1000,1583.91,6000000,MALE,Associate,sales,board-games,unmarried,66000,-46000,Vehicle Theft,?,Minor Damage,,NY,20,1,NO,0,1,NO,6500,1300,650,4550,Accura,2009,N
437,58,IN,500/1000,2000,1192.04,0,MALE,Associate,craft-repair,dancing,own-child,66100,-31400,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,SC,23,1,YES,0,0,NO,55800,11160,11160,33480,Dodge,2004,N
121,34,IN,500/1000,500,1285.42,0,MALE,MD,priv-house-serv,video-games,wife,0,0,Single Vehicle Collision,Front Collision,Major Damage,Fire,VA,11,1,NO,1,1,NO,67300,6730,6730,53840,Dodge,2000,Y
218,41,IL,100/300,500,914.22,0,MALE,JD,prof-specialty,golf,wife,37900,-72900,Multi-vehicle Collision,Side Collision,Total Loss,Police,NY,14,3,NO,2,0,NO,84590,15380,7690,61520,Saab,2013,N
212,35,IN,500/1000,2000,1123.89,0,MALE,MD,priv-house-serv,video-games,unmarried,35400,-49200,Multi-vehicle Collision,Front Collision,Total Loss,Fire,NY,0,3,?,1,3,?,50380,4580,4580,41220,Suburu,1996,N
210,37,IN,500/1000,2000,1048.46,0,MALE,High School,priv-house-serv,skydiving,not-in-family,59900,0,Vehicle Theft,?,Trivial Damage,,OH,9,1,?,1,2,?,7080,1180,590,5310,Dodge,1999,N
261,46,IL,500/1000,1000,1245.61,0,MALE,MD,transport-moving,base-jumping,own-child,0,0,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,11,1,YES,1,0,?,59670,9180,9180,41310,Ford,2008,N
155,35,IL,500/1000,1000,1088.34,0,FEMALE,Associate,adm-clerical,yachting,other-relative,81100,0,Multi-vehicle Collision,Front Collision,Total Loss,Police,NY,16,3,YES,2,3,NO,29790,3310,3310,23170,BMW,2008,N
130,34,OH,250/500,500,1383.49,3000000,FEMALE,Masters,armed-forces,bungie-jumping,other-relative,35100,0,Multi-vehicle Collision,Side Collision,Minor Damage,Police,NC,4,3,?,2,3,YES,67500,7500,7500,52500,Suburu,1996,N
137,30,IL,250/500,500,1039.55,0,MALE,MD,exec-managerial,kayaking,unmarried,55600,-59700,Multi-vehicle Collision,Front Collision,Minor Damage,Other,WV,4,3,?,2,1,?,74030,6730,13460,53840,Chevrolet,2005,N
458,59,IN,100/300,1000,1685.69,0,FEMALE,High School,protective-serv,hiking,wife,31400,0,Single Vehicle Collision,Front Collision,Total Loss,Police,VA,23,1,?,2,2,YES,71800,14360,14360,43080,Jeep,1995,N
10,26,IN,100/300,2000,765.64,0,MALE,MD,sales,base-jumping,not-in-family,0,-22200,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,SC,3,3,?,0,3,?,31350,2850,5700,22800,Honda,2001,Y
405,58,IL,250/500,500,1237.88,0,MALE,MD,exec-managerial,exercise,not-in-family,0,-46900,Single Vehicle Collision,Front Collision,Major Damage,Police,NY,11,1,?,0,0,?,63580,5780,5780,52020,Mercedes,1997,Y
55,35,IL,500/1000,500,1198.44,8000000,MALE,MD,priv-house-serv,polo,wife,0,0,Vehicle Theft,?,Minor Damage,Police,WV,9,1,NO,0,3,NO,3080,560,560,1960,Nissan,1998,N
19,29,OH,250/500,500,1304.35,0,MALE,JD,transport-moving,cross-fit,not-in-family,0,0,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,NY,6,3,NO,0,2,?,75400,11600,11600,52200,Dodge,2005,Y
140,31,OH,250/500,2000,1554.86,6000000,FEMALE,JD,armed-forces,base-jumping,wife,59000,0,Parked Car,?,Minor Damage,,WV,2,1,YES,1,2,?,6120,680,680,4760,Honda,2002,Y
322,49,IL,250/500,2000,1277.12,0,FEMALE,PhD,armed-forces,kayaking,own-child,0,-46000,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,WV,18,1,?,0,2,YES,42240,7680,7680,26880,Chevrolet,2007,N
93,32,OH,250/500,2000,1624.82,0,MALE,PhD,exec-managerial,basketball,unmarried,65300,-65600,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,WV,16,1,?,1,1,?,78120,17360,8680,52080,BMW,2006,N
430,59,OH,250/500,2000,1326.62,7000000,MALE,MD,other-service,bungie-jumping,own-child,0,0,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,19,3,?,0,3,YES,81800,16360,8180,57260,Nissan,1998,N
239,39,IN,250/500,2000,625.08,0,FEMALE,JD,protective-serv,hiking,wife,44200,-37000,Single Vehicle Collision,Front Collision,Major Damage,Fire,SC,10,1,NO,2,3,YES,87890,15980,7990,63920,BMW,2014,Y
371,52,IL,250/500,1000,1242.96,7000000,FEMALE,High School,other-service,paintball,own-child,0,-37100,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,NY,2,2,YES,2,0,?,88920,6840,13680,68400,Accura,2010,N
247,44,OH,250/500,2000,1101.51,0,FEMALE,College,farming-fishing,camping,not-in-family,64000,0,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,22,3,NO,2,2,NO,69480,11580,11580,46320,Chevrolet,2008,N
180,36,IL,100/300,500,1272.46,0,MALE,College,prof-specialty,exercise,wife,0,0,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,7,3,YES,2,1,?,69630,12660,6330,50640,Toyota,1998,N
390,51,OH,250/500,2000,1124.38,0,MALE,Associate,armed-forces,reading,other-relative,0,0,Vehicle Theft,?,Minor Damage,,VA,9,1,YES,1,1,YES,7080,1180,1180,4720,Ford,2001,N
121,31,IL,500/1000,1000,1061.98,6000000,FEMALE,JD,armed-forces,camping,unmarried,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Police,WV,16,1,NO,0,1,YES,65250,7250,7250,50750,BMW,2002,N
158,33,OH,100/300,2000,1327.41,0,FEMALE,Associate,handlers-cleaners,skydiving,other-relative,0,-38600,Single Vehicle Collision,Side Collision,Total Loss,Other,SC,0,1,?,0,0,?,35000,3500,7000,24500,Suburu,2012,N
270,41,IL,250/500,1000,817.28,0,MALE,High School,sales,cross-fit,unmarried,62200,0,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,17,3,?,1,1,NO,60190,4630,9260,46300,Mercedes,2014,Y
286,47,IN,250/500,500,1386.93,0,MALE,High School,priv-house-serv,bungie-jumping,husband,54100,-77600,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,NY,15,3,YES,0,0,NO,65800,13160,6580,46060,Accura,2001,N
319,47,IN,250/500,500,1307.11,0,MALE,College,transport-moving,dancing,not-in-family,0,0,Multi-vehicle Collision,Front Collision,Total Loss,Police,WV,22,3,NO,0,2,?,59730,10860,10860,38010,Audi,2005,N
385,51,IN,250/500,1000,976.37,0,FEMALE,MD,craft-repair,reading,husband,0,-61000,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,WV,14,3,?,1,3,?,67600,13520,6760,47320,Suburu,2007,N
169,36,IN,250/500,500,1616.26,0,MALE,High School,exec-managerial,yachting,unmarried,50700,-57600,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,NY,0,3,NO,2,3,?,77440,14080,7040,56320,Dodge,2004,N
194,34,IN,100/300,1000,1423.34,0,MALE,Associate,sales,camping,not-in-family,55300,-37900,Vehicle Theft,?,Minor Damage,,WV,0,1,YES,0,3,NO,9100,1400,1400,6300,Chevrolet,2003,N
229,37,IL,250/500,2000,1212.12,0,FEMALE,MD,craft-repair,paintball,not-in-family,65600,0,Multi-vehicle Collision,Side Collision,Major Damage,Other,WV,14,3,YES,1,1,YES,68760,11460,5730,51570,Ford,1995,N
463,57,IL,250/500,500,1063.67,0,MALE,Masters,priv-house-serv,dancing,wife,0,0,Single Vehicle Collision,Front Collision,Minor Damage,Police,NY,14,1,NO,2,0,YES,59400,6600,6600,46200,Dodge,1995,N
32,29,OH,100/300,500,1446.98,0,MALE,MD,adm-clerical,sleeping,own-child,0,-45700,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,11,3,YES,2,0,NO,57970,10540,5270,42160,Saab,2006,N
238,39,IN,250/500,2000,1488.02,0,FEMALE,JD,protective-serv,exercise,other-relative,0,-39200,Vehicle Theft,?,Minor Damage,Police,NY,9,1,YES,1,3,YES,5500,1100,550,3850,Chevrolet,2010,N
69,26,IL,100/300,2000,924.72,0,FEMALE,High School,machine-op-inspct,base-jumping,unmarried,0,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,NY,14,1,NO,2,2,NO,63120,5260,10520,47340,Audi,2008,N
298,49,OH,250/500,500,1451.01,0,FEMALE,College,other-service,exercise,own-child,47800,0,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,17,1,NO,2,2,NO,28100,2810,5620,19670,Jeep,2012,N
463,59,IL,250/500,1000,979.73,0,FEMALE,JD,exec-managerial,yachting,not-in-family,51700,0,Multi-vehicle Collision,Front Collision,Major Damage,Other,SC,14,2,?,1,2,NO,72400,7240,14480,50680,Chevrolet,1999,Y
133,34,IN,500/1000,500,1074.07,0,FEMALE,JD,prof-specialty,bungie-jumping,husband,70900,-61100,Parked Car,?,Minor Damage,,WV,8,1,NO,2,0,YES,4200,420,840,2940,Jeep,2013,N
41,26,IL,100/300,1000,1383.13,0,FEMALE,JD,prof-specialty,exercise,own-child,46700,0,Vehicle Theft,?,Trivial Damage,Police,SC,12,1,YES,1,1,?,6890,530,1060,5300,Jeep,1997,N
396,57,IL,500/1000,500,1351.72,0,MALE,High School,tech-support,camping,wife,0,-49400,Parked Car,?,Minor Damage,,NY,3,1,YES,1,3,?,2640,480,480,1680,Volkswagen,2000,N
82,27,IL,100/300,1000,1384.51,0,MALE,PhD,adm-clerical,reading,not-in-family,13100,-38200,Single Vehicle Collision,Rear Collision,Major Damage,Other,SC,14,1,NO,2,3,?,71680,8960,8960,53760,Volkswagen,2007,Y
467,58,IN,500/1000,2000,977.4,0,MALE,Masters,transport-moving,bungie-jumping,own-child,82200,0,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,2,1,YES,2,3,NO,55700,5570,11140,38990,Nissan,2014,N
64,29,OH,250/500,2000,1202.28,0,MALE,High School,exec-managerial,cross-fit,other-relative,0,-61400,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,VA,4,1,?,1,2,NO,43700,4370,4370,34960,Nissan,2007,Y
293,45,IL,100/300,1000,1119.23,0,FEMALE,MD,exec-managerial,exercise,unmarried,51500,0,Multi-vehicle Collision,Front Collision,Total Loss,Fire,WV,13,3,NO,1,1,NO,51210,11380,5690,34140,Jeep,2015,N
163,37,IN,500/1000,1000,1200.33,4000000,FEMALE,High School,craft-repair,cross-fit,own-child,0,-36400,Vehicle Theft,?,Minor Damage,Police,WV,7,1,?,2,1,YES,3900,390,780,2730,Volkswagen,2008,Y
215,37,IN,100/300,500,1632.93,0,FEMALE,College,transport-moving,golf,not-in-family,0,-42900,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,SC,7,3,NO,2,0,YES,57120,9520,4760,42840,Mercedes,2002,N
478,64,OH,250/500,500,835.02,0,FEMALE,Associate,adm-clerical,reading,unmarried,59600,0,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,WV,17,3,NO,1,1,NO,33930,0,3770,30160,BMW,1998,N
156,37,OH,500/1000,1000,1086.48,6000000,MALE,Associate,machine-op-inspct,hiking,unmarried,0,-53800,Multi-vehicle Collision,Rear Collision,Total Loss,Other,NY,17,3,?,1,1,YES,77440,14080,7040,56320,Suburu,1999,N
111,27,OH,250/500,500,1459.97,5000000,MALE,MD,sales,yachting,other-relative,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,SC,2,3,NO,1,2,NO,80850,7350,14700,58800,Ford,2011,Y
282,48,OH,500/1000,2000,1422.56,7000000,FEMALE,MD,prof-specialty,video-games,husband,26900,-55300,Vehicle Theft,?,Minor Damage,,WV,7,1,?,1,2,NO,3520,640,320,2560,Accura,2013,N
212,39,OH,100/300,1000,1255.35,0,FEMALE,JD,protective-serv,skydiving,not-in-family,60300,-58900,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,NY,22,2,NO,0,3,YES,59300,11860,5930,41510,Dodge,2008,N
121,34,OH,100/300,1000,936.61,0,FEMALE,MD,armed-forces,bungie-jumping,wife,52800,-32800,Parked Car,?,Minor Damage,,SC,5,1,NO,1,1,NO,7280,1120,1120,5040,Toyota,2010,N
